glycan,human1_d_wang2023,human2_d_wang2023,human_d120_wang2022,human_d150_wang2022,human_d15_wang2022,human_d180_wang2022,human_d210_wang2022,human_d240_wang2022,human_d304_wang2022,human_d304_wang2023,human_d304_wang2024,human_d304_wang2025,human_d304_wang2026,human_d304_wang2027,human_d304_wang2028,human_d304_wang2029,human_d304_wang2030,human_d304_wang2031,human_d304_wang2032,human_d30_wang2022,human_d30_wang2023,human_d30_wang2024,human_d30_wang2025,human_d30_wang2026,human_d30_wang2027,human_d30_wang2028,human_d30_wang2029,human_d30_wang2030,human_d30_wang2031,human_d30_wang2032,human_d45_yamaguchi2024,human_d60_wang2022,human_d7_wang2022,human_d90_wang2022
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,5.888468001,7.872315664,7.321561287,7.983431398,6.587532427,9.198693897,,,,,,,,,,,,,,,,6.033370664,,,,,,,,6.89114316,4.701201481,5.030472691
GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,2.131335859,2.4592373,1.319486672,2.630977708,2.721761608,2.151824285,,,,,,,2.532333442,,,,,,,,,,,,,,,,,2.111138271,0.615013054,3.209494738
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,,
Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166,,,
Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,0.704195266,0.813110215,0.825076606,0.773240995,0.62934379,1.097612915,,,,,,,,,,,,,,0.736687411,,,,,,,,,,0.927646052,0.728714294,0.566629609
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.424,,,
Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,0.931806746,1.059340202,1.280140533,1.046219397,0.989563344,1.430222889,,,,,,,,,,,,0.956417781,,,,,,,,,,,0.194,0.648985578,1.157379194,0.462838928
Neu5Ac(a2-3)Gal(b1-3)GalNAc,,,6.5815964,9.163349646,13.42576639,4.964352391,7.759335233,5.037613683,,,,,,,,,,,,0.289161721,,,,,,,,,,,,7.404441848,18.43139665,9.3982374
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,,,
